object_type,condition,label,frame_number,timestamp,point_id,x,y,z,range,velocity_radial,velocity_x,velocity_y,velocity_z,velocity_magnitude,is_moving,motion_type,snr,noise,peak_value,rcs,azimuth,elevation,doppler_idx,range_idx,condition_confidence
ball,moving,ball_moving,16,13.88570169,4,0.0,0.044,0.0,0.044,8.689999999999998,0.0,8.689999999999998,0.0,8.689999999999998,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,913,1,1.0
ball,moving,ball_moving,16,13.88570169,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,17,14.135697615,0,-0.08250388003568519,13.55174885798062,0.0,13.552,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.896000000000001,10.0,37.896,-6.6961488157359454,-0.34881591796875,0.0,47,308,1.0
ball,moving,ball_moving,17,14.135697615,1,0.0,1.98,0.0,1.98,5.040000000000006,0.0,5.040000000000006,0.0,5.040000000000006,True,fast,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,808,45,1.0
ball,moving,ball_moving,17,14.135697615,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,17,14.135697615,3,0.012693301904752152,7.787989655879541,0.0,7.787999999999999,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,19.424,10.0,49.424,-4.69732392267381,0.0933837890625,0.0,1084,177,1.0
ball,moving,ball_moving,17,14.135697615,4,0.0,0.044,0.0,0.044,8.820000000000007,0.0,8.820000000000007,0.0,8.820000000000007,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,914,1,1.0
ball,moving,ball_moving,17,14.135697615,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,18,14.385692635,0,-0.08196814055493398,13.463750488772952,0.0,13.463999999999999,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,8.072000000000003,10.0,38.072,-6.632488755758054,-0.34881591796875,0.0,47,306,1.0
ball,moving,ball_moving,18,14.385692635,1,0.0,1.98,0.0,1.98,4.650000000000006,0.0,4.650000000000006,0.0,4.650000000000006,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,805,45,1.0
ball,moving,ball_moving,18,14.385692635,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
